,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,product_importance,gender,discount_offered,weight_in_gms,reached_ontime
34,C,Ship,4,2,227,4,medium,F,22,2460,1
35,F,Ship,5,4,149,3,medium,F,44,1811,1
36,D,Ship,3,5,137,4,high,F,62,1477,1
37,F,Ship,2,4,181,6,medium,F,16,3605,1
38,A,Ship,5,1,215,4,low,F,56,3905,1
39,B,Ship,4,2,269,5,low,F,45,2383,1
40,C,Ship,5,1,227,2,low,M,15,3798,1
41,F,Ship,5,5,139,4,medium,M,61,1265,1
42,D,Ship,3,5,137,2,medium,M,38,1647,1
43,F,Ship,3,1,174,2,low,M,44,1556,1
44,A,Ship,3,1,151,2,low,M,29,1328,1
45,B,Ship,5,1,210,3,low,F,9,2944,1
46,C,Ship,3,4,169,4,medium,F,32,1245,1
47,F,Ship,5,1,160,2,low,M,32,1576,1
48,D,Ship,5,4,190,2,medium,M,9,3753,1
49,F,Ship,5,3,216,3,low,F,40,2146,1
50,A,Ship,4,1,183,3,low,M,37,2042,1
51,B,Ship,4,4,141,3,low,M,22,1735,1
52,C,Ship,4,3,165,3,low,F,44,1320,1
53,F,Ship,2,1,170,3,low,M,41,1128,1
54,D,Ship,4,3,203,3,high,M,12,3539,1
55,F,Ship,2,5,246,5,low,M,46,2437,1
56,A,Ship,3,3,238,3,low,F,61,3096,1
57,B,Ship,3,3,193,3,medium,F,29,3453,1
58,C,Ship,5,5,141,3,high,M,41,1367,1
59,F,Ship,4,1,150,3,high,F,17,1923,1
60,D,Ship,3,1,221,3,low,F,64,2794,1
61,F,Ship,3,3,179,3,medium,M,52,1158,1
62,A,Ship,5,1,105,6,medium,M,62,1292,1
63,B,Ship,3,1,177,3,medium,M,61,1880,1
64,C,Ship,4,5,261,2,high,M,49,3045,1
65,F,Ship,3,2,202,3,low,M,49,2881,1
66,D,Ship,3,2,109,3,medium,F,15,1710,1
67,F,Ship,3,3,158,3,low,F,6,1878,1
68,A,Ship,4,2,231,4,medium,F,6,2512,1
69,B,Ship,3,5,206,3,medium,M,39,2929,1
70,C,Ship,5,1,187,4,high,M,14,3849,1
71,F,Ship,5,5,230,2,low,F,2,2229,1
72,D,Ship,5,5,232,3,medium,F,33,2998,1
73,F,Ship,4,5,215,3,medium,F,21,3984,1
74,A,Ship,6,1,238,6,low,F,13,2442,1
75,B,Ship,4,1,266,3,low,F,23,3775,1
76,C,Ship,2,3,158,2,medium,F,36,1788,1
77,F,Ship,3,3,113,3,low,F,43,1518,1
78,D,Ship,3,4,223,3,low,M,18,3959,1
79,F,Ship,3,5,257,2,medium,F,56,3711,1
80,A,Ship,3,4,180,2,medium,F,49,1942,1
81,B,Ship,2,5,132,3,low,M,18,1759,1
82,C,Ship,4,4,217,3,high,F,26,2875,1
83,F,Ship,5,5,162,3,high,F,31,1364,1
84,D,Ship,4,5,197,2,medium,F,40,2710,1
85,F,Ship,3,4,197,3,medium,M,13,2148,1
86,A,Ship,4,1,185,2,low,M,44,2910,1
87,B,Ship,6,2,278,3,medium,F,3,2974,1
88,C,Ship,3,3,229,3,low,M,49,2339,1
89,F,Ship,4,1,186,4,medium,F,57,3880,1
90,D,Ship,5,3,174,6,high,F,41,1085,1
91,F,Ship,5,5,286,3,low,F,18,3163,1
92,A,Ship,4,4,175,2,medium,F,7,1188,1
93,B,Ship,3,3,219,3,medium,F,17,3387,1
94,C,Ship,4,1,213,4,high,F,35,2343,1
95,F,Ship,2,3,235,3,low,M,57,2034,1
96,D,Ship,3,3,149,2,medium,M,18,1225,1
97,F,Ship,4,1,271,2,medium,F,8,2401,1
98,A,Ship,3,5,144,4,medium,M,5,1104,1
99,B,Ship,4,2,145,2,medium,M,21,1617,1
100,C,Ship,5,3,143,2,medium,M,59,1837,1
101,F,Ship,5,5,227,4,low,M,53,2624,1
102,D,Ship,2,1,213,3,low,M,29,2732,1
103,F,Ship,5,1,144,4,low,M,37,1658,1
104,A,Ship,3,3,218,3,low,M,3,2255,1
105,B,Ship,4,2,144,3,medium,M,59,1588,1
106,C,Ship,3,1,238,3,low,M,17,2624,1
107,F,Ship,4,5,216,3,high,M,26,2053,1
108,D,Ship,4,5,238,3,high,F,55,3257,1
109,F,Ship,4,1,141,3,medium,M,47,1250,1
110,A,Road,3,1,158,2,low,M,2,1284,1
111,B,Road,4,2,239,3,low,F,65,3679,1
112,C,Road,4,3,175,2,low,M,25,1816,1
113,F,Road,3,2,263,3,low,M,41,2817,1
114,D,Road,3,5,168,2,high,M,50,1616,1
115,F,Road,3,4,176,3,high,M,36,1779,1
116,A,Road,4,1,150,4,high,M,60,1024,1
117,B,Road,4,3,265,2,medium,F,31,2326,1
118,C,Road,2,5,263,3,low,F,5,2947,1
119,F,Road,5,1,145,3,low,M,20,1387,1
120,D,Road,4,2,183,3,low,F,33,2741,1
121,F,Road,3,3,205,3,medium,F,19,2167,1
122,A,Road,4,2,160,3,low,M,64,1714,1
123,B,Road,3,3,252,2,medium,F,48,2102,1
124,C,Road,5,5,222,3,low,M,10,2280,1
125,F,Road,3,3,203,2,low,M,25,3607,1
126,D,Road,4,5,220,3,medium,M,40,3516,1
127,F,Road,3,3,147,4,low,F,60,1722,1
128,A,Road,4,4,200,4,medium,M,16,2060,1
129,B,Road,4,5,224,4,medium,M,21,2026,1
130,C,Road,3,5,179,2,low,F,17,1364,1
131,F,Road,3,4,144,3,low,M,50,1865,1
132,D,Flight,5,2,247,3,low,M,17,3889,1
133,F,Flight,5,4,280,6,medium,F,51,3582,1
134,A,Flight,3,3,168,2,medium,F,1,1829,1
135,B,Flight,3,5,157,3,medium,F,4,1889,1
136,C,Flight,3,3,189,4,medium,F,51,2208,1
137,F,Flight,3,5,162,2,medium,M,7,1739,1
138,D,Flight,4,1,207,5,low,M,48,2399,1
139,F,Flight,5,1,237,2,low,F,10,3860,1
140,A,Flight,4,4,264,3,high,M,59,2020,1
141,B,Flight,5,4,149,3,low,M,51,1645,1
142,C,Flight,5,5,162,3,low,M,41,1462,1
143,F,Flight,2,1,205,4,medium,F,63,2156,1
144,D,Flight,2,1,158,3,medium,F,51,1540,1
145,F,Flight,2,2,248,2,low,M,46,3707,1
146,A,Flight,3,5,191,3,low,M,23,3750,1
147,B,Flight,4,3,146,4,medium,F,24,1844,1
148,C,Flight,3,3,135,3,low,M,56,1490,1
149,F,Flight,5,1,149,3,low,M,40,1062,1
150,D,Flight,4,4,220,2,medium,F,7,2551,1
151,F,Flight,5,3,98,5,medium,M,44,1269,1
152,A,Flight,3,4,97,4,low,M,32,1238,1
153,B,Flight,3,3,183,2,low,M,53,3932,1
154,C,Ship,3,3,162,3,medium,F,8,1869,1
155,F,Ship,5,1,114,4,low,F,47,1443,1
156,D,Ship,6,3,275,5,low,M,41,2491,1
157,F,Ship,3,2,203,2,medium,F,39,3845,1
158,A,Ship,5,5,205,2,high,M,65,3671,1
159,B,Ship,3,3,149,3,low,F,63,1946,1
160,C,Ship,2,2,112,4,medium,M,56,1138,1
161,F,Ship,3,1,207,3,medium,F,56,3482,1
162,D,Ship,4,1,261,4,low,F,58,3427,1
163,F,Ship,5,2,274,3,medium,M,6,3375,1
164,A,Ship,3,5,141,2,low,M,52,1692,1
165,B,Ship,3,3,166,4,medium,F,17,1498,1
166,C,Ship,5,2,141,3,high,F,34,1020,1
167,F,Ship,4,5,152,3,low,M,43,1709,1
168,D,Ship,4,2,250,3,low,F,53,2478,1
169,F,Ship,4,3,161,3,medium,F,28,1809,1
170,A,Ship,4,3,185,3,medium,F,10,2263,1
171,B,Ship,4,4,176,4,high,F,52,1096,1
172,C,Ship,3,4,148,3,low,M,56,1550,1
173,F,Ship,3,2,270,3,low,F,63,2751,1
174,D,Ship,3,3,242,3,low,F,51,3935,1
175,F,Ship,4,4,150,2,medium,M,3,1285,1
176,A,Ship,4,5,192,3,high,M,20,3872,1
177,B,Ship,4,5,116,3,medium,M,54,1314,1
178,C,Ship,3,3,192,3,medium,F,2,3995,1
179,F,Ship,5,5,255,4,medium,M,3,3440,1
180,D,Ship,4,1,161,7,medium,F,18,1294,1
181,F,Ship,4,5,157,3,low,M,20,1487,1
182,A,Ship,3,2,164,10,high,F,28,1940,1
183,B,Ship,3,5,162,7,medium,F,16,1052,1
184,C,Ship,3,3,146,2,low,M,50,1486,1
185,F,Ship,3,2,209,3,medium,M,54,3001,1
186,D,Ship,5,4,134,2,medium,F,55,1386,1
187,F,Ship,2,1,222,2,medium,M,5,3778,1
188,A,Ship,2,5,139,3,low,F,27,1233,1
189,B,Ship,2,4,134,3,low,F,42,1415,1
190,C,Ship,2,5,130,3,low,M,16,1092,1
191,F,Ship,2,5,133,3,low,F,62,1596,1
192,D,Ship,2,4,140,3,low,F,7,1411,1
193,F,Ship,2,2,158,3,low,M,28,1968,1
194,A,Ship,4,2,270,4,low,F,46,1736,1
195,B,Ship,2,5,140,3,low,F,30,1030,1
196,C,Ship,2,2,135,3,low,M,15,1339,1
197,F,Ship,2,3,136,3,low,F,19,1568,1
198,D,Ship,2,3,142,3,medium,F,38,7640,1
199,F,Ship,2,2,154,3,medium,M,38,7846,1
200,A,Ship,2,3,139,3,low,M,9,1471,1
201,B,Ship,2,3,160,3,low,F,43,1251,1
202,C,Ship,2,4,134,3,low,M,58,1067,1
203,F,Ship,5,3,161,5,high,M,48,1883,1
204,D,Ship,2,5,155,3,low,M,23,1602,1
205,F,Ship,2,3,145,3,medium,F,24,7588,1
206,A,Ship,2,2,157,3,low,M,1,1477,1
207,B,Ship,2,2,160,3,low,M,48,1691,1
208,C,Ship,2,4,152,3,low,M,55,1498,1
209,F,Ship,2,5,148,3,high,F,11,1502,1
210,D,Ship,2,1,127,3,low,F,15,1522,1
211,F,Ship,2,5,154,3,low,F,21,1113,1
212,A,Ship,2,5,127,3,low,M,44,1341,1
213,B,Ship,2,5,160,3,medium,F,31,7401,1
214,C,Ship,2,4,129,3,low,F,48,1219,1
215,F,Ship,2,5,158,3,low,F,40,1722,1
216,D,Ship,4,3,185,3,medium,M,3,3131,1
217,F,Ship,4,4,176,4,high,F,63,1293,1
218,A,Ship,3,4,148,3,low,M,37,1523,1
219,B,Ship,3,5,270,3,low,M,60,3885,1
220,C,Ship,3,4,242,3,low,M,29,2381,1
221,F,Ship,4,3,150,2,medium,M,31,1588,1
222,D,Ship,4,2,192,3,high,M,4,2061,1
223,F,Ship,4,5,116,3,medium,F,9,1314,1
224,A,Ship,3,4,192,3,medium,F,31,3331,1
225,B,Ship,5,4,255,4,medium,F,38,2771,1
226,C,Ship,4,3,161,7,medium,M,63,1496,1
227,F,Ship,4,2,157,3,low,F,48,1393,1
228,D,Ship,3,2,164,10,high,M,14,1375,1
229,F,Ship,3,3,162,7,medium,F,42,1278,1
230,A,Ship,3,1,146,2,low,F,54,1528,1
231,B,Ship,3,4,209,3,medium,F,60,2240,1
232,C,Ship,5,5,134,2,medium,M,53,1088,1
233,F,Ship,2,1,222,2,medium,M,58,3626,1
234,D,Ship,2,1,139,3,low,F,39,1582,1
235,F,Ship,2,2,134,3,low,M,38,1352,1
236,A,Ship,2,3,130,3,low,F,48,1801,1
237,B,Ship,2,2,133,3,low,M,5,1268,1
238,C,Ship,2,3,140,3,low,F,23,1372,1
239,F,Ship,2,3,158,3,low,M,10,1515,1
240,D,Ship,4,5,270,4,low,M,65,1818,1
241,F,Ship,2,4,140,3,low,F,33,1278,1
242,A,Ship,2,2,135,3,low,M,58,1734,1
243,B,Ship,2,4,136,3,low,M,43,1958,1
244,C,Ship,2,1,142,3,medium,F,8,6064,1
245,F,Ship,2,4,154,3,medium,F,48,7684,1
246,D,Ship,2,3,139,3,low,F,3,1788,1
247,F,Road,2,4,160,3,low,F,50,1030,1
248,A,Road,2,2,134,3,low,F,38,1530,1
249,B,Road,5,5,161,5,high,F,54,1511,1
250,C,Road,2,3,155,3,low,F,45,1639,1
251,F,Road,2,2,145,3,medium,F,5,6102,1
252,D,Road,2,1,157,3,low,M,58,1930,1
253,F,Road,2,5,160,3,low,F,19,1399,1
254,A,Road,2,2,152,3,low,F,61,1800,1
255,B,Road,2,2,148,3,high,F,35,1349,1
256,C,Road,2,2,127,3,low,M,13,1128,1
257,F,Road,2,2,129,3,medium,F,22,6614,1
258,D,Road,2,3,158,3,low,F,13,1245,1
259,F,Road,2,4,147,3,low,M,5,1920,1
260,A,Road,2,5,159,3,low,F,49,1621,1
261,B,Road,2,3,151,3,low,F,23,1930,1
262,C,Road,3,1,294,4,low,F,52,1089,1
263,F,Road,3,2,226,2,medium,M,45,1446,1
264,D,Road,5,3,271,5,high,M,9,1813,1
265,F,Road,7,2,203,5,medium,F,61,1856,1
266,A,Road,2,3,264,4,low,F,10,1648,1
267,B,Road,4,1,258,3,medium,M,36,2211,1
268,C,Road,3,5,241,3,low,F,21,3078,1
269,F,Flight,4,5,208,3,medium,M,23,2056,1
270,D,Flight,3,2,209,5,medium,F,12,3054,1
271,F,Flight,5,1,182,2,medium,F,23,2707,1
272,A,Flight,4,5,148,2,medium,F,43,1087,1
273,B,Flight,2,3,183,2,medium,F,52,3199,1
274,C,Flight,3,5,229,6,medium,M,22,2717,1
275,F,Flight,5,5,115,5,low,F,26,1692,1
276,D,Flight,4,2,136,3,low,F,65,1962,1
277,F,Flight,4,4,212,3,low,M,21,3307,1
278,A,Flight,4,3,171,3,low,F,24,1304,1
279,B,Flight,3,1,151,2,low,M,60,1925,1
280,C,Flight,3,1,205,3,medium,M,39,3062,1
281,F,Flight,5,4,147,3,medium,M,23,1132,1
282,D,Flight,3,3,155,3,low,F,29,1712,1
283,F,Flight,5,4,165,3,low,F,20,1150,1
284,A,Flight,5,5,230,3,low,F,32,3249,1
285,B,Flight,2,4,181,4,medium,M,13,2309,1
286,C,Flight,5,3,234,2,low,F,55,3308,1
287,F,Flight,4,4,149,3,low,M,34,1977,1
288,D,Flight,5,5,156,2,low,M,44,1561,1
289,F,Flight,4,2,172,3,medium,F,59,1858,1
290,A,Flight,4,4,270,3,low,M,12,3279,1
291,B,Ship,4,1,206,3,medium,M,23,3807,1
292,C,Ship,4,3,211,4,medium,M,40,3106,1
293,F,Ship,3,2,136,4,low,M,62,1090,1
294,D,Ship,5,1,186,2,high,F,52,3981,1
295,F,Ship,3,1,202,2,medium,M,62,3398,1
296,A,Ship,4,2,183,3,medium,F,12,3646,1
297,B,Ship,4,4,232,2,low,M,36,2861,1
298,C,Ship,4,2,147,4,medium,M,52,1129,1
299,F,Ship,4,3,136,3,medium,M,20,1531,1
300,D,Ship,5,3,127,3,low,F,43,1446,1
301,F,Ship,4,5,202,2,medium,M,35,3695,1
302,A,Ship,3,4,241,2,low,M,57,3671,1
303,B,Ship,4,3,222,2,medium,M,55,3833,1
304,C,Ship,3,2,183,4,medium,F,12,2777,1
305,F,Ship,4,4,249,3,medium,F,36,3769,1
306,D,Ship,3,1,243,4,high,M,59,3838,1
307,F,Ship,3,3,163,3,medium,M,9,1257,1
308,A,Ship,4,2,165,2,high,M,11,1596,1
309,B,Ship,5,5,266,3,medium,F,53,3089,1
310,C,Ship,3,4,193,2,medium,M,48,3909,1
311,F,Ship,3,2,154,3,low,F,56,1136,1
312,D,Ship,3,3,140,3,medium,M,51,1046,1
313,F,Ship,4,3,272,3,medium,M,38,3705,1
314,A,Ship,4,2,143,6,medium,M,20,1654,1
315,B,Ship,4,2,138,3,low,F,30,1805,1
316,C,Ship,4,2,238,2,high,M,17,3358,1
317,F,Ship,4,5,273,4,medium,F,31,2373,1
318,D,Ship,3,1,200,2,medium,M,27,2551,1
319,F,Ship,4,5,213,4,low,M,39,2381,1
320,A,Ship,3,4,224,2,medium,F,15,2701,1
321,B,Ship,4,5,141,3,medium,M,12,1672,1
322,C,Ship,3,3,150,3,low,M,46,1040,1
323,F,Ship,3,1,192,2,low,M,33,2818,1
324,D,Ship,5,1,279,4,medium,F,24,3440,1
325,F,Ship,3,4,246,3,medium,M,30,3748,1
326,A,Ship,3,4,173,3,medium,M,52,1587,1
327,B,Ship,4,4,233,4,medium,F,59,2358,1
328,C,Ship,5,1,274,2,medium,M,24,2423,1
329,F,Ship,4,5,243,4,medium,F,41,2782,1
330,D,Ship,3,4,197,3,medium,F,56,3427,1
331,F,Ship,4,3,140,3,high,F,46,1072,1
332,A,Ship,3,5,215,3,medium,F,22,2585,1
333,B,Ship,3,4,211,3,medium,M,8,3710,1
334,C,Ship,4,2,220,5,low,M,33,2854,1
335,F,Ship,3,1,194,4,low,M,64,2026,1
336,D,Ship,5,1,262,3,medium,F,58,3599,1
337,F,Ship,4,4,201,2,low,F,1,3147,1
338,A,Ship,3,5,261,3,medium,M,15,2989,1
339,B,Ship,4,4,191,6,low,F,60,3425,1
340,C,Ship,2,5,255,5,medium,F,53,3775,1
341,F,Ship,3,2,169,2,high,M,30,1698,1
342,D,Ship,4,5,162,2,medium,M,64,1918,1
343,F,Ship,2,5,248,6,low,F,62,2750,1
344,A,Ship,5,3,197,4,low,F,2,2222,1
345,B,Ship,5,1,264,3,low,M,6,2882,1
346,C,Ship,5,5,260,2,medium,F,55,2791,1
347,F,Ship,5,3,186,2,medium,F,58,2259,1
348,D,Ship,4,5,233,4,low,F,44,2551,1
349,F,Ship,5,1,161,3,low,M,47,1954,1
350,A,Ship,4,5,188,3,low,F,13,2409,1
351,B,Ship,5,5,171,2,medium,F,22,1695,1
352,C,Ship,2,2,267,3,medium,M,15,2481,1
353,F,Ship,4,3,255,2,high,M,47,2956,1
354,D,Ship,3,2,132,3,low,F,56,1303,1
355,F,Ship,5,1,266,3,low,F,31,3157,1
356,A,Ship,3,4,198,2,low,M,25,2774,1
357,B,Ship,2,3,247,2,medium,F,62,3127,1
358,C,Ship,3,1,140,3,medium,F,65,1291,1
359,F,Ship,4,3,131,5,low,M,6,1659,1
360,D,Ship,5,2,246,3,medium,M,49,3236,1
361,F,Ship,3,2,159,3,medium,F,4,1681,1
362,A,Ship,3,5,203,2,medium,M,61,3642,1
363,B,Ship,4,3,187,4,high,F,29,3141,1
364,C,Ship,6,2,146,3,low,F,62,1936,1
365,F,Ship,3,2,234,3,medium,M,39,2099,1
366,D,Ship,3,4,122,3,high,F,15,1354,1
367,F,Ship,3,3,135,3,low,M,8,1074,1
368,A,Ship,3,5,103,3,low,M,3,1403,1
369,B,Ship,3,5,257,3,medium,F,19,2173,1
370,C,Ship,4,3,169,2,low,M,2,1399,1
371,F,Ship,4,5,159,3,medium,M,18,1808,1
372,D,Ship,4,5,188,3,low,M,38,3031,1
373,F,Ship,5,1,136,3,medium,M,19,1420,1
374,A,Ship,5,1,227,3,low,F,19,3007,1
375,B,Ship,3,5,262,2,low,F,53,3275,1
376,C,Ship,2,3,157,2,low,M,45,1965,1
377,F,Ship,5,3,238,2,medium,F,21,2053,1
378,D,Ship,3,5,152,3,low,M,43,1282,1
379,F,Ship,3,2,201,3,medium,M,5,2040,1
380,A,Ship,3,4,148,2,low,M,54,1778,1
381,B,Ship,5,2,199,4,low,F,59,2885,1
382,C,Ship,5,4,215,2,low,F,45,3501,1
383,F,Ship,4,5,175,2,low,M,40,1270,1
384,D,Road,4,3,236,2,high,M,23,3123,1
385,F,Road,2,5,182,2,medium,F,57,2896,1
386,A,Road,3,1,251,3,medium,M,42,3698,1
387,B,Road,5,2,173,3,low,F,7,1855,1
388,C,Road,4,3,225,3,low,F,62,2587,1
389,F,Road,4,2,167,4,low,F,20,1705,1
390,D,Road,4,1,259,3,low,M,20,2154,1
391,F,Road,4,1,178,3,medium,F,63,1573,1
392,A,Road,4,4,178,4,medium,F,13,1614,1
393,B,Road,5,4,169,2,low,F,20,1765,1
394,C,Road,3,2,272,2,low,M,33,2321,1
395,F,Road,4,4,183,3,low,M,29,3251,1
396,D,Road,3,4,205,3,low,F,10,2728,1
397,F,Road,2,1,123,4,low,F,53,1036,1
398,A,Road,4,3,152,3,low,M,58,1453,1
399,B,Road,3,1,220,2,high,F,40,3773,1
400,C,Road,4,3,134,3,low,M,51,1965,1
401,F,Road,3,2,217,2,high,M,19,2992,1
402,D,Road,3,2,265,3,low,F,49,2791,1
403,F,Road,4,2,249,5,medium,M,36,3836,1
404,A,Road,5,3,213,4,medium,F,50,2003,1
405,B,Road,2,2,124,3,low,F,56,1494,1
406,C,Flight,4,1,180,2,low,M,23,1193,1
407,F,Flight,4,5,193,3,medium,M,65,2267,1
408,D,Flight,3,2,192,3,medium,M,43,3339,1
409,F,Flight,2,5,166,3,medium,M,3,1832,1
410,A,Flight,3,2,264,3,medium,M,5,3861,1
411,B,Flight,3,4,200,2,medium,M,14,3528,1
412,C,Flight,4,3,142,4,medium,M,12,1396,1
413,F,Flight,4,1,215,2,low,M,32,3066,1
414,D,Flight,2,1,218,2,low,M,15,2745,1
415,F,Flight,3,2,115,3,low,F,27,1814,1
416,A,Flight,4,3,159,3,low,M,33,1330,1
417,B,Flight,5,5,133,3,low,M,63,1218,1
418,C,Flight,5,2,178,3,low,M,48,1517,1
419,F,Flight,4,2,134,2,low,F,43,1714,1
420,D,Flight,3,1,184,5,medium,F,58,2544,1
421,F,Flight,4,2,251,2,medium,M,24,2405,1
422,A,Flight,3,2,141,3,low,M,7,1933,1
423,B,Flight,4,4,229,2,medium,M,45,3776,1
424,C,Flight,4,1,203,4,low,M,34,3813,1
425,F,Flight,4,3,158,3,medium,F,57,1911,1
426,D,Flight,3,4,167,3,medium,M,52,1755,1
427,F,Flight,5,4,197,4,low,F,40,3303,1
428,A,Ship,2,2,140,3,low,F,19,1806,1
429,B,Ship,5,1,205,2,medium,M,27,3569,1
430,C,Ship,5,5,208,3,low,F,45,2018,1
431,F,Ship,4,2,96,3,low,M,22,1294,1
432,D,Ship,6,4,205,3,low,F,44,2064,1
433,F,Ship,4,2,215,3,medium,F,48,2953,1
434,A,Ship,4,1,216,3,low,F,43,2643,1
435,B,Ship,3,1,112,2,high,M,22,1846,1
436,C,Ship,5,4,222,3,low,F,20,3632,1
437,F,Ship,5,2,186,3,medium,F,15,2153,1
438,D,Ship,3,5,241,3,medium,M,48,2841,1
439,F,Ship,3,3,172,3,low,F,58,1269,1
440,A,Ship,3,5,251,2,high,M,23,2426,1
441,B,Ship,5,3,190,3,high,M,45,2628,1
442,C,Ship,4,3,186,2,medium,F,48,2805,1
443,F,Ship,4,4,207,2,medium,M,35,2596,1
444,D,Ship,3,3,135,3,low,F,19,1366,1
445,F,Ship,4,4,189,2,medium,F,18,2955,1
446,A,Ship,4,4,173,5,medium,F,51,1691,1
447,B,Ship,3,4,194,3,medium,M,3,2169,1
448,C,Ship,3,1,183,3,low,M,19,3018,1
449,F,Ship,4,3,140,2,low,F,22,1248,1
450,D,Ship,4,4,244,3,medium,F,55,2782,1
451,F,Ship,2,3,189,4,low,M,34,3355,1
452,A,Ship,3,2,157,2,medium,M,53,1390,1
453,B,Ship,4,1,275,10,medium,F,23,2726,1
454,C,Ship,4,5,133,3,low,F,53,1467,1
455,F,Ship,4,1,149,3,medium,M,54,1178,1
456,D,Ship,3,3,254,2,high,M,17,3153,1
457,F,Ship,3,4,145,8,low,F,15,1429,1
458,A,Ship,3,2,179,5,low,F,52,1991,1
459,B,Ship,5,2,168,3,low,M,26,1526,1
460,C,Ship,4,1,202,3,medium,F,18,3940,1
461,F,Ship,3,4,220,7,low,M,43,2620,1
462,D,Ship,3,4,244,8,low,M,1,2703,1
463,F,Ship,4,2,186,7,medium,F,40,3111,1
464,A,Ship,5,2,263,8,medium,M,24,3139,1
465,B,Ship,3,2,294,4,low,F,15,1318,1
466,C,Ship,3,5,226,2,medium,F,2,1043,1
467,F,Ship,4,4,173,5,medium,F,2,1175,1
468,D,Ship,3,5,194,3,medium,F,10,2277,1
469,F,Ship,3,5,183,3,low,F,2,3459,1
470,A,Ship,4,1,140,2,low,M,61,1770,1
471,B,Ship,4,3,244,3,medium,M,8,3318,1
472,C,Ship,2,2,189,4,low,M,9,3413,1
473,F,Ship,3,1,157,2,medium,F,39,1525,1
474,D,Ship,4,3,275,10,medium,M,10,2093,1
475,F,Ship,4,5,133,3,low,M,59,1092,1
476,A,Ship,4,2,149,3,medium,M,26,1863,1
477,B,Ship,3,4,254,2,high,F,41,3973,1
478,C,Ship,3,4,145,8,low,F,24,1594,1
479,F,Ship,3,5,179,5,low,M,56,1113,1
480,D,Ship,5,4,168,3,low,F,13,1317,1
481,F,Ship,4,5,202,3,medium,F,46,3181,1
482,A,Ship,3,3,220,7,low,M,25,2141,1
483,B,Ship,3,2,244,8,low,F,50,3562,1
484,C,Ship,4,3,186,7,medium,F,30,2062,1
485,F,Ship,5,5,263,8,medium,F,9,2236,1
486,D,Ship,3,1,294,4,low,F,25,1498,1
487,F,Ship,4,1,139,3,low,F,56,1811,1
488,A,Ship,7,5,192,3,low,M,46,1550,1
489,B,Ship,3,3,235,3,low,M,5,3065,1
490,C,Ship,2,1,176,3,low,F,15,1996,1
491,F,Ship,5,4,224,3,low,F,34,2627,1
492,D,Ship,3,4,128,3,medium,F,51,1524,1
493,F,Ship,5,4,226,5,low,M,47,2240,1
494,A,Ship,5,1,160,5,medium,F,16,1526,1
495,B,Ship,3,1,197,5,low,M,45,2224,1
496,C,Ship,4,2,216,3,low,F,12,2273,1
497,F,Ship,4,4,199,2,low,M,9,3075,1
498,D,Ship,5,5,271,2,low,M,27,3957,1
499,F,Ship,5,1,201,3,low,F,47,2657,1
500,A,Ship,3,4,212,2,low,M,33,2021,1
501,B,Ship,3,2,177,3,low,M,10,1641,1
502,C,Ship,3,4,191,4,medium,F,43,2903,1
503,F,Ship,3,2,174,3,low,M,30,1986,1
504,D,Ship,5,3,162,2,low,F,14,1045,1
505,F,Ship,3,1,219,2,low,F,39,2696,1
506,A,Ship,4,4,155,3,medium,F,35,1421,1
